date,LBTYA,isPartial
2015-12-26,0,False
2015-12-27,0,False
2015-12-28,0,False
2015-12-29,0,False
2015-12-30,0,False
2015-12-31,0,False
2016-01-01,0,False
2016-01-02,0,False
2016-01-03,0,False
2016-01-04,0,False
2016-01-05,0,False
2016-01-06,0,False
2016-01-07,0,False
2016-01-08,32,False
2016-01-09,0,False
2016-01-10,0,False
2016-01-11,0,False
2016-01-12,31,False
2016-01-13,0,False
2016-01-14,0,False
2016-01-15,32,False
2016-01-16,0,False
2016-01-17,0,False
2016-01-18,0,False
2016-01-19,62,False
2016-01-20,31,False
2016-01-21,32,False
2016-01-22,0,False
2016-01-23,0,False
2016-01-24,35,False
2016-01-25,0,False
2016-01-26,31,False
2016-01-27,0,False
2016-01-28,0,False
2016-01-29,64,False
2016-01-30,0,False
2016-01-31,0,False
2016-02-01,0,False
2016-02-02,0,False
2016-02-03,0,False
2016-02-04,0,False
2016-02-05,0,False
2016-02-06,0,False
2016-02-07,0,False
2016-02-08,31,False
2016-02-09,31,False
2016-02-10,31,False
2016-02-11,62,False
2016-02-12,0,False
2016-02-13,0,False
2016-02-14,0,False
2016-02-15,0,False
2016-02-16,61,False
2016-02-17,31,False
2016-02-18,0,False
2016-02-19,0,False
2016-02-20,0,False
2016-02-21,0,False
2016-02-22,0,False
2016-02-23,30,False
2016-02-24,0,False
2016-02-25,0,False
2016-02-26,0,False
2016-02-27,0,False
2016-02-28,0,False
2016-02-29,0,False
2016-03-01,0,False
2016-03-02,30,False
2016-03-03,30,False
2016-03-04,31,False
2016-03-05,0,False
2016-03-06,0,False
2016-03-07,61,False
2016-03-08,0,False
2016-03-09,30,False
2016-03-10,31,False
2016-03-11,0,False
2016-03-12,0,False
2016-03-13,34,False
2016-03-14,0,False
2016-03-15,30,False
2016-03-16,0,False
2016-03-17,0,False
2016-03-18,64,False
2016-03-19,0,False
2016-03-20,0,False
2016-03-21,0,False
2016-03-22,0,False
2016-03-23,0,False
2016-03-24,0,False
2016-03-25,0,False
2016-03-26,0,False
2016-03-27,37,False
2016-03-28,64,False
2016-03-29,30,False
2016-03-30,31,False
2016-03-31,0,False
2016-04-01,0,False
2016-04-02,0,False
2016-04-03,0,False
2016-04-04,0,False
2016-04-05,0,False
2016-04-06,0,False
2016-04-07,31,False
2016-04-08,0,False
2016-04-09,0,False
2016-04-10,0,False
2016-04-11,30,False
2016-04-12,30,False
2016-04-13,0,False
2016-04-14,0,False
2016-04-15,32,False
2016-04-16,0,False
2016-04-17,0,False
2016-04-18,0,False
2016-04-19,30,False
2016-04-20,0,False
2016-04-21,31,False
2016-04-22,0,False
2016-04-23,0,False
2016-04-24,0,False
2016-04-25,30,False
2016-04-26,30,False
2016-04-27,0,False
2016-04-28,62,False
2016-04-29,0,False
2016-04-30,0,False
2016-05-01,0,False
2016-05-02,0,False
2016-05-03,31,False
2016-05-04,31,False
2016-05-05,0,False
2016-05-06,33,False
2016-05-07,0,False
2016-05-08,0,False
2016-05-09,0,False
2016-05-10,30,False
2016-05-11,0,False
2016-05-12,0,False
2016-05-13,0,False
2016-05-14,0,False
2016-05-15,0,False
2016-05-16,0,False
2016-05-17,30,False
2016-05-18,0,False
2016-05-19,0,False
2016-05-20,0,False
2016-05-21,0,False
2016-05-22,0,False
2016-05-23,61,False
2016-05-24,0,False
2016-05-25,0,False
2016-05-26,0,False
2016-05-27,33,False
2016-05-28,36,False
2016-05-29,0,False
2016-05-30,0,False
2016-05-31,0,False
2016-06-01,0,False
2016-06-02,31,False
2016-06-03,97,False
2016-06-04,0,False
2016-06-05,0,False
2016-06-06,0,False
2016-06-07,0,False
2016-06-08,31,False
2016-06-09,32,False
2016-06-10,33,False
2016-06-11,0,False
2016-06-12,0,False
2016-06-13,31,False
2016-06-14,0,False
2016-06-15,31,False
2016-06-16,0,False
2016-06-17,0,False
2016-06-18,0,False
2016-06-19,0,False
