date,FOX,isPartial
2013-02-19,45,False
2013-02-20,50,False
2013-02-21,49,False
2013-02-22,50,False
2013-02-23,44,False
2013-02-24,46,False
2013-02-25,43,False
2013-02-26,47,False
2013-02-27,49,False
2013-02-28,44,False
2013-03-01,44,False
2013-03-02,43,False
2013-03-03,44,False
2013-03-04,44,False
2013-03-05,51,False
2013-03-06,51,False
2013-03-07,49,False
2013-03-08,46,False
2013-03-09,42,False
2013-03-10,45,False
2013-03-11,43,False
2013-03-12,50,False
2013-03-13,49,False
2013-03-14,43,False
2013-03-15,43,False
2013-03-16,44,False
2013-03-17,44,False
2013-03-18,43,False
2013-03-19,42,False
2013-03-20,41,False
2013-03-21,42,False
2013-03-22,45,False
2013-03-23,43,False
2013-03-24,45,False
2013-03-25,45,False
2013-03-26,42,False
2013-03-27,41,False
2013-03-28,42,False
2013-03-29,43,False
2013-03-30,43,False
2013-03-31,42,False
2013-04-01,43,False
2013-04-02,45,False
2013-04-03,49,False
2013-04-04,46,False
2013-04-05,44,False
2013-04-06,42,False
2013-04-07,43,False
2013-04-08,43,False
2013-04-09,49,False
2013-04-10,50,False
2013-04-11,46,False
2013-04-12,44,False
2013-04-13,43,False
2013-04-14,44,False
2013-04-15,67,False
2013-04-16,62,False
2013-04-17,58,False
2013-04-18,60,False
2013-04-19,100,False
2013-04-20,68,False
2013-04-21,54,False
2013-04-22,47,False
2013-04-23,53,False
2013-04-24,46,False
2013-04-25,45,False
2013-04-26,44,False
2013-04-27,42,False
2013-04-28,43,False
2013-04-29,41,False
2013-04-30,51,False
2013-05-01,55,False
2013-05-02,49,False
2013-05-03,48,False
2013-05-04,42,False
2013-05-05,45,False
2013-05-06,42,False
2013-05-07,46,False
2013-05-08,49,False
2013-05-09,48,False
2013-05-10,48,False
2013-05-11,43,False
2013-05-12,43,False
2013-05-13,44,False
2013-05-14,43,False
2013-05-15,47,False
2013-05-16,49,False
2013-05-17,47,False
2013-05-18,43,False
2013-05-19,48,False
2013-05-20,46,False
2013-05-21,51,False
2013-05-22,45,False
2013-05-23,45,False
2013-05-24,46,False
2013-05-25,48,False
2013-05-26,42,False
2013-05-27,37,False
2013-05-28,41,False
2013-05-29,43,False
2013-05-30,43,False
2013-05-31,46,False
2013-06-01,46,False
2013-06-02,45,False
2013-06-03,42,False
2013-06-04,42,False
2013-06-05,42,False
2013-06-06,42,False
2013-06-07,43,False
2013-06-08,42,False
2013-06-09,41,False
2013-06-10,38,False
2013-06-11,43,False
2013-06-12,41,False
2013-06-13,42,False
2013-06-14,40,False
2013-06-15,39,False
2013-06-16,38,False
2013-06-17,39,False
2013-06-18,39,False
2013-06-19,40,False
2013-06-20,39,False
2013-06-21,41,False
2013-06-22,39,False
2013-06-23,39,False
2013-06-24,39,False
2013-06-25,40,False
2013-06-26,45,False
2013-06-27,44,False
2013-06-28,41,False
2013-06-29,41,False
2013-06-30,42,False
2013-07-01,42,False
2013-07-02,42,False
2013-07-03,43,False
2013-07-04,40,False
2013-07-05,42,False
2013-07-06,45,False
2013-07-07,44,False
2013-07-08,40,False
2013-07-09,42,False
2013-07-10,47,False
2013-07-11,45,False
2013-07-12,44,False
2013-07-13,47,False
2013-07-14,56,False
2013-07-15,44,False
2013-07-16,45,False
2013-07-17,46,False
2013-07-18,47,False
2013-07-19,45,False
2013-07-20,46,False
2013-07-21,47,False
2013-07-22,45,False
2013-07-23,46,False
2013-07-24,47,False
2013-07-25,47,False
2013-07-26,44,False
2013-07-27,46,False
2013-07-28,52,False
2013-07-29,45,False
2013-07-30,45,False
2013-07-31,45,False
2013-08-01,46,False
2013-08-02,50,False
2013-08-03,48,False
2013-08-04,46,False
2013-08-05,43,False
2013-08-06,43,False
2013-08-07,46,False
2013-08-08,47,False
2013-08-09,45,False
2013-08-10,45,False
2013-08-11,49,False
2013-08-12,44,False
2013-08-13,42,False
2013-08-14,44,False
2013-08-15,46,False
2013-08-16,50,False
2013-08-17,59,False
2013-08-18,52,False
2013-08-19,47,False
2013-08-20,45,False
2013-08-21,44,False
2013-08-22,47,False
2013-08-23,43,False
2013-08-24,46,False
2013-08-25,44,False
2013-08-26,41,False
2013-08-27,42,False
2013-08-28,47,False
2013-08-29,46,False
2013-08-30,47,False
2013-08-31,49,False
2013-09-01,46,False
2013-09-02,41,False
2013-09-03,42,False
2013-09-04,43,False
2013-09-05,45,False
2013-09-06,57,False
2013-09-07,57,False
2013-09-08,58,False
2013-09-09,52,False
2013-09-10,52,False
2013-09-11,55,False
2013-09-12,52,False
2013-09-13,56,False
2013-09-14,54,False
2013-09-15,59,False
2013-09-16,60,False
2013-09-17,55,False
2013-09-18,54,False
2013-09-19,51,False
2013-09-20,59,False
2013-09-21,59,False
2013-09-22,64,False
2013-09-23,53,False
2013-09-24,52,False
2013-09-25,56,False
2013-09-26,60,False
2013-09-27,65,False
2013-09-28,64,False
2013-09-29,64,False
2013-09-30,58,False
2013-10-01,67,False
2013-10-02,61,False
2013-10-03,64,False
2013-10-04,64,False
2013-10-05,64,False
2013-10-06,66,False
2013-10-07,53,False
2013-10-08,56,False
2013-10-09,56,False
2013-10-10,58,False
2013-10-11,70,False
2013-10-12,69,False
2013-10-13,71,False
2013-10-14,63,False
2013-10-15,63,False
2013-10-16,65,False
2013-10-17,59,False
2013-10-18,59,False
2013-10-19,69,False
2013-10-20,66,False
2013-10-21,58,False
2013-10-22,58,False
2013-10-23,60,False
2013-10-24,61,False
2013-10-25,63,False
2013-10-26,71,False
2013-10-27,69,False
2013-10-28,58,False
2013-10-29,58,False
2013-10-30,61,False
2013-10-31,64,False
2013-11-01,65,False
2013-11-02,64,False
2013-11-03,68,False
2013-11-04,59,False
2013-11-05,61,False
2013-11-06,60,False
