date,QVCA
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,100
2014-08-04,0
2014-08-05,41
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,49
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,44
2014-08-16,0
2014-08-17,49
2014-08-18,40
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,39
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,38
2014-09-04,39
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,46
2014-09-21,0
2014-09-22,38
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,45
2014-10-06,0
2014-10-07,38
2014-10-08,50
2014-10-09,0
2014-10-10,40
2014-10-11,0
2014-10-12,0
2014-10-13,37
2014-10-14,0
2014-10-15,37
2014-10-16,57
2014-10-17,0
2014-10-18,45
2014-10-19,0
2014-10-20,56
2014-10-21,0
2014-10-22,37
2014-10-23,0
2014-10-24,40
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,37
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,74
2014-11-04,56
2014-11-05,0
2014-11-06,37
2014-11-07,0
2014-11-08,0
2014-11-09,43
2014-11-10,37
2014-11-11,37
2014-11-12,37
2014-11-13,37
2014-11-14,0
2014-11-15,0
2014-11-16,0
2014-11-17,36
2014-11-18,40
2014-11-19,39
2014-11-20,37
2014-11-21,38
2014-11-22,0
2014-11-23,0
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-27,38
2014-11-28,0
2014-11-29,0
2014-11-30,0
2014-12-01,0
2014-12-02,36
2014-12-03,36
2014-12-04,37
2014-12-05,0
2014-12-06,44
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,0
2014-12-11,37
2014-12-12,39
2014-12-13,44
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,38
2014-12-19,0
2014-12-20,0
2014-12-21,45
2014-12-22,0
2014-12-23,41
2014-12-24,0
2014-12-25,49
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,45
2015-01-01,47
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,73
2015-01-06,73
2015-01-07,0
2015-01-08,36
2015-01-09,37
2015-01-10,0
2015-01-11,0
2015-01-12,36
2015-01-13,0
2015-01-14,0
2015-01-15,35
2015-01-16,37
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,35
2015-01-23,36
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,35
2015-01-29,35
2015-01-30,54
2015-01-31,0
2015-02-01,0
2015-02-02,35
2015-02-03,34
2015-02-04,35
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,37
2015-02-14,0
2015-02-15,42
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,37
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,35
2015-02-25,35
2015-02-26,70
2015-02-27,36
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,34
2015-03-04,0
2015-03-05,35
2015-03-06,0
2015-03-07,41
2015-03-08,0
2015-03-09,52
2015-03-10,35
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,34
2015-03-19,35
2015-03-20,0
2015-03-21,41
2015-03-22,0
2015-03-23,69
2015-03-24,0
2015-03-25,0
2015-03-26,80
2015-03-27,36
2015-03-28,0
2015-03-29,0
2015-03-30,34
2015-03-31,0
2015-04-01,0
2015-04-02,37
2015-04-03,39
2015-04-04,0
2015-04-05,0
2015-04-06,37
2015-04-07,34
2015-04-08,35
2015-04-09,35
2015-04-10,0
