date,QVCA
2015-04-10,0
2015-04-11,31
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,52
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,28
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,30
2015-05-18,26
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,27
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,26
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,28
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,26
2015-06-12,28
2015-06-13,0
2015-06-14,0
2015-06-15,25
2015-06-16,51
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,31
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,26
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,26
2015-07-01,0
2015-07-02,0
2015-07-03,28
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,26
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,26
2015-07-16,27
2015-07-17,0
2015-07-18,33
2015-07-19,0
2015-07-20,28
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,26
2015-07-28,26
2015-07-29,26
2015-07-30,26
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,26
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,31
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,26
2015-08-14,0
2015-08-15,0
2015-08-16,31
2015-08-17,77
2015-08-18,38
2015-08-19,0
2015-08-20,26
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,25
2015-08-26,0
2015-08-27,26
2015-08-28,27
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,25
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,25
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,28
2015-09-14,25
2015-09-15,25
2015-09-16,25
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,53
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,26
2015-10-03,0
2015-10-04,0
2015-10-05,49
2015-10-06,24
2015-10-07,25
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,24
2015-10-15,49
2015-10-16,25
2015-10-17,29
2015-10-18,0
2015-10-19,24
2015-10-20,0
2015-10-21,0
2015-10-22,24
2015-10-23,0
2015-10-24,0
2015-10-25,28
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,24
2015-10-30,26
2015-10-31,0
2015-11-01,0
2015-11-02,24
2015-11-03,24
2015-11-04,48
2015-11-05,49
2015-11-06,63
2015-11-07,28
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,25
2015-11-12,25
2015-11-13,26
2015-11-14,42
2015-11-15,28
2015-11-16,24
2015-11-17,24
2015-11-18,0
2015-11-19,0
2015-11-20,63
2015-11-21,0
2015-11-22,28
2015-11-23,24
2015-11-24,24
2015-11-25,24
2015-11-26,0
2015-11-27,26
2015-11-28,0
2015-11-29,0
2015-11-30,23
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,48
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,25
2015-12-16,100
2015-12-17,0
2015-12-18,0
2015-12-19,30
2015-12-20,29
2015-12-21,0
2015-12-22,26
2015-12-23,27
2015-12-24,0
2015-12-25,0
2015-12-26,31
