date,VIAB
2011-05-11,25
2011-05-12,25
2011-05-13,26
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,25
2011-05-18,25
2011-05-19,25
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,32
2011-05-24,24
2011-05-25,0
2011-05-26,25
2011-05-27,0
2011-05-28,32
2011-05-29,32
2011-05-30,26
2011-05-31,24
2011-06-01,50
2011-06-02,0
2011-06-03,0
2011-06-04,32
2011-06-05,31
2011-06-06,25
2011-06-07,24
2011-06-08,24
2011-06-09,74
2011-06-10,26
2011-06-11,32
2011-06-12,0
2011-06-13,25
2011-06-14,24
2011-06-15,73
2011-06-16,25
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,24
2011-06-22,0
2011-06-23,0
2011-06-24,26
2011-06-25,32
2011-06-26,32
2011-06-27,24
2011-06-28,24
2011-06-29,25
2011-06-30,25
2011-07-01,27
2011-07-02,0
2011-07-03,0
2011-07-04,39
2011-07-05,50
2011-07-06,0
2011-07-07,38
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,37
2011-07-12,37
2011-07-13,25
2011-07-14,0
2011-07-15,0
2011-07-16,32
2011-07-17,0
2011-07-18,25
2011-07-19,0
2011-07-20,25
2011-07-21,0
2011-07-22,39
2011-07-23,31
2011-07-24,31
2011-07-25,25
2011-07-26,25
2011-07-27,49
2011-07-28,25
2011-07-29,26
2011-07-30,32
2011-07-31,0
2011-08-01,25
2011-08-02,0
2011-08-03,0
2011-08-04,24
2011-08-05,52
2011-08-06,31
2011-08-07,0
2011-08-08,48
2011-08-09,24
2011-08-10,0
2011-08-11,25
2011-08-12,0
2011-08-13,31
2011-08-14,0
2011-08-15,25
2011-08-16,25
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,61
2011-08-21,30
2011-08-22,39
2011-08-23,24
2011-08-24,47
2011-08-25,0
2011-08-26,25
2011-08-27,29
2011-08-28,0
2011-08-29,47
2011-08-30,0
2011-08-31,24
2011-09-01,24
2011-09-02,74
2011-09-03,0
2011-09-04,29
2011-09-05,23
2011-09-06,23
2011-09-07,46
2011-09-08,23
2011-09-09,24
2011-09-10,28
2011-09-11,28
2011-09-12,45
2011-09-13,0
2011-09-14,23
2011-09-15,0
2011-09-16,36
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,22
2011-09-21,23
2011-09-22,23
2011-09-23,24
2011-09-24,0
2011-09-25,0
2011-09-26,22
2011-09-27,22
2011-09-28,45
2011-09-29,34
2011-09-30,24
2011-10-01,28
2011-10-02,28
2011-10-03,23
2011-10-04,22
2011-10-05,22
2011-10-06,22
2011-10-07,23
2011-10-08,41
2011-10-09,40
2011-10-10,34
2011-10-11,21
2011-10-12,0
2011-10-13,22
2011-10-14,23
2011-10-15,27
2011-10-16,27
2011-10-17,33
2011-10-18,44
2011-10-19,44
2011-10-20,22
2011-10-21,23
2011-10-22,54
2011-10-23,0
2011-10-24,21
2011-10-25,22
2011-10-26,22
2011-10-27,33
2011-10-28,35
2011-10-29,28
2011-10-30,27
2011-10-31,0
2011-11-01,0
2011-11-02,22
2011-11-03,0
2011-11-04,0
2011-11-05,53
2011-11-06,53
2011-11-07,44
2011-11-08,0
2011-11-09,22
2011-11-10,29
2011-11-11,23
2011-11-12,80
2011-11-13,0
2011-11-14,21
2011-11-15,22
2011-11-16,44
2011-11-17,22
2011-11-18,45
2011-11-19,26
2011-11-20,0
2011-11-21,0
2011-11-22,21
2011-11-23,22
2011-11-24,0
2011-11-25,47
2011-11-26,26
2011-11-27,26
2011-11-28,21
2011-11-29,21
2011-11-30,53
2011-12-01,22
2011-12-02,23
2011-12-03,0
2011-12-04,25
2011-12-05,21
2011-12-06,21
2011-12-07,28
2011-12-08,44
2011-12-09,22
2011-12-10,26
2011-12-11,0
2011-12-12,21
2011-12-13,21
2011-12-14,42
2011-12-15,22
2011-12-16,23
2011-12-17,26
2011-12-18,26
2011-12-19,21
2011-12-20,43
2011-12-21,44
2011-12-22,23
2011-12-23,50
2011-12-24,0
2011-12-25,0
2011-12-26,25
2011-12-27,46
2011-12-28,23
2011-12-29,23
2011-12-30,32
2011-12-31,28
2012-01-01,0
2012-01-02,23
2012-01-03,0
2012-01-04,28
2012-01-05,43
2012-01-06,22
2012-01-07,25
2012-01-08,24
2012-01-09,41
2012-01-10,20
2012-01-11,20
2012-01-12,31
2012-01-13,21
2012-01-14,100
2012-01-15,24
2012-01-16,30
2012-01-17,20
2012-01-18,30
2012-01-19,20
2012-01-20,21
2012-01-21,0
2012-01-22,0
2012-01-23,40
2012-01-24,0
2012-01-25,20
2012-01-26,41
