date,EBAY,isPartial
2014-03-16,80,False
2014-03-17,69,False
2014-03-18,68,False
2014-03-19,65,False
2014-03-20,63,False
2014-03-21,63,False
2014-03-22,72,False
2014-03-23,80,False
2014-03-24,68,False
2014-03-25,64,False
2014-03-26,68,False
2014-03-27,68,False
2014-03-28,66,False
2014-03-29,69,False
2014-03-30,76,False
2014-03-31,67,False
2014-04-01,65,False
2014-04-02,64,False
2014-04-03,65,False
2014-04-04,64,False
2014-04-05,69,False
2014-04-06,79,False
2014-04-07,67,False
2014-04-08,67,False
2014-04-09,64,False
2014-04-10,65,False
2014-04-11,64,False
2014-04-12,67,False
2014-04-13,77,False
2014-04-14,68,False
2014-04-15,66,False
2014-04-16,64,False
2014-04-17,61,False
2014-04-18,71,False
2014-04-19,65,False
2014-04-20,71,False
2014-04-21,70,False
2014-04-22,67,False
2014-04-23,67,False
2014-04-24,64,False
2014-04-25,64,False
2014-04-26,69,False
2014-04-27,78,False
2014-04-28,67,False
2014-04-29,63,False
2014-04-30,64,False
2014-05-01,72,False
2014-05-02,67,False
2014-05-03,70,False
2014-05-04,76,False
2014-05-05,67,False
2014-05-06,68,False
2014-05-07,65,False
2014-05-08,65,False
2014-05-09,66,False
2014-05-10,68,False
2014-05-11,76,False
2014-05-12,66,False
2014-05-13,66,False
2014-05-14,64,False
2014-05-15,64,False
2014-05-16,62,False
2014-05-17,65,False
2014-05-18,74,False
2014-05-19,68,False
2014-05-20,67,False
2014-05-21,81,False
2014-05-22,84,False
2014-05-23,70,False
2014-05-24,73,False
2014-05-25,78,False
2014-05-26,77,False
2014-05-27,76,False
2014-05-28,71,False
2014-05-29,71,False
2014-05-30,65,False
2014-05-31,69,False
2014-06-01,77,False
2014-06-02,65,False
2014-06-03,65,False
2014-06-04,66,False
2014-06-05,65,False
2014-06-06,60,False
2014-06-07,66,False
2014-06-08,71,False
2014-06-09,65,False
2014-06-10,65,False
2014-06-11,62,False
2014-06-12,60,False
2014-06-13,58,False
2014-06-14,64,False
2014-06-15,75,False
2014-06-16,61,False
2014-06-17,64,False
2014-06-18,61,False
2014-06-19,63,False
2014-06-20,61,False
2014-06-21,64,False
2014-06-22,74,False
2014-06-23,64,False
2014-06-24,62,False
2014-06-25,62,False
2014-06-26,58,False
2014-06-27,63,False
2014-06-28,67,False
2014-06-29,81,False
2014-06-30,65,False
2014-07-01,62,False
2014-07-02,62,False
2014-07-03,61,False
2014-07-04,63,False
2014-07-05,64,False
2014-07-06,75,False
2014-07-07,64,False
2014-07-08,65,False
2014-07-09,63,False
2014-07-10,64,False
2014-07-11,61,False
2014-07-12,66,False
2014-07-13,72,False
2014-07-14,64,False
2014-07-15,65,False
2014-07-16,66,False
2014-07-17,61,False
2014-07-18,59,False
2014-07-19,66,False
2014-07-20,73,False
2014-07-21,66,False
2014-07-22,66,False
2014-07-23,64,False
2014-07-24,61,False
2014-07-25,63,False
2014-07-26,67,False
2014-07-27,76,False
2014-07-28,69,False
2014-07-29,67,False
2014-07-30,68,False
2014-07-31,68,False
2014-08-01,63,False
2014-08-02,67,False
2014-08-03,75,False
2014-08-04,66,False
2014-08-05,66,False
2014-08-06,65,False
2014-08-07,63,False
2014-08-08,63,False
2014-08-09,68,False
2014-08-10,78,False
2014-08-11,66,False
2014-08-12,72,False
2014-08-13,66,False
2014-08-14,65,False
2014-08-15,64,False
2014-08-16,67,False
2014-08-17,77,False
2014-08-18,67,False
2014-08-19,67,False
2014-08-20,64,False
2014-08-21,64,False
2014-08-22,63,False
2014-08-23,69,False
2014-08-24,73,False
2014-08-25,66,False
2014-08-26,66,False
2014-08-27,62,False
2014-08-28,63,False
2014-08-29,63,False
2014-08-30,70,False
2014-08-31,76,False
2014-09-01,69,False
2014-09-02,63,False
2014-09-03,72,False
2014-09-04,63,False
2014-09-05,61,False
2014-09-06,68,False
2014-09-07,75,False
2014-09-08,65,False
2014-09-09,62,False
2014-09-10,62,False
2014-09-11,63,False
2014-09-12,63,False
2014-09-13,67,False
2014-09-14,100,False
2014-09-15,66,False
2014-09-16,65,False
2014-09-17,62,False
2014-09-18,62,False
2014-09-19,65,False
2014-09-20,69,False
2014-09-21,78,False
2014-09-22,66,False
2014-09-23,64,False
2014-09-24,64,False
2014-09-25,66,False
2014-09-26,63,False
2014-09-27,67,False
2014-09-28,73,False
2014-09-29,66,False
2014-09-30,64,False
2014-10-01,63,False
2014-10-02,61,False
2014-10-03,64,False
2014-10-04,68,False
2014-10-05,73,False
2014-10-06,68,False
2014-10-07,66,False
2014-10-08,62,False
2014-10-09,66,False
2014-10-10,64,False
2014-10-11,69,False
2014-10-12,78,False
2014-10-13,66,False
2014-10-14,66,False
2014-10-15,64,False
2014-10-16,65,False
2014-10-17,63,False
2014-10-18,67,False
2014-10-19,74,False
2014-10-20,68,False
2014-10-21,68,False
2014-10-22,65,False
2014-10-23,63,False
2014-10-24,64,False
2014-10-25,69,False
2014-10-26,75,False
2014-10-27,65,False
2014-10-28,65,False
2014-10-29,62,False
2014-10-30,62,False
2014-10-31,58,False
2014-11-01,66,False
2014-11-02,78,False
2014-11-03,66,False
2014-11-04,63,False
2014-11-05,62,False
2014-11-06,63,False
2014-11-07,63,False
2014-11-08,69,False
2014-11-09,76,False
2014-11-10,67,False
2014-11-11,69,False
2014-11-12,66,False
2014-11-13,63,False
2014-11-14,64,False
2014-11-15,71,False
2014-11-16,80,False
2014-11-17,69,False
2014-11-18,67,False
2014-11-19,66,False
2014-11-20,65,False
2014-11-21,65,False
2014-11-22,70,False
2014-11-23,77,False
2014-11-24,68,False
2014-11-25,64,False
2014-11-26,64,False
2014-11-27,67,False
2014-11-28,73,False
2014-11-29,73,False
2014-11-30,79,False
2014-12-01,70,False
