date,VRSK
2011-05-11,45
2011-05-12,0
2011-05-13,48
2011-05-14,56
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,45
2011-05-26,45
2011-05-27,0
2011-05-28,58
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,47
2011-06-11,0
2011-06-12,57
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,44
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,44
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,48
2011-07-09,0
2011-07-10,0
2011-07-11,45
2011-07-12,0
2011-07-13,0
2011-07-14,46
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,45
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,46
2011-08-03,45
2011-08-04,45
2011-08-05,48
2011-08-06,0
2011-08-07,56
2011-08-08,44
2011-08-09,0
2011-08-10,44
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,56
2011-08-15,46
2011-08-16,0
2011-08-17,45
2011-08-18,0
2011-08-19,46
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,85
2011-08-24,0
2011-08-25,43
2011-08-26,45
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,43
2011-08-31,43
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,43
2011-09-06,0
2011-09-07,42
2011-09-08,42
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,41
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,50
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,0
2011-09-23,0
2011-09-24,51
2011-09-25,0
2011-09-26,81
2011-09-27,40
2011-09-28,41
2011-09-29,42
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,41
2011-10-04,0
2011-10-05,40
2011-10-06,0
2011-10-07,42
2011-10-08,0
2011-10-09,0
2011-10-10,41
2011-10-11,0
2011-10-12,0
2011-10-13,41
2011-10-14,0
2011-10-15,100
2011-10-16,0
2011-10-17,80
2011-10-18,81
2011-10-19,40
2011-10-20,41
2011-10-21,43
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,41
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,41
2011-11-01,0
2011-11-02,61
2011-11-03,0
2011-11-04,41
2011-11-05,0
2011-11-06,48
2011-11-07,0
2011-11-08,0
2011-11-09,40
2011-11-10,40
2011-11-11,84
2011-11-12,0
2011-11-13,0
2011-11-14,39
2011-11-15,40
2011-11-16,39
2011-11-17,0
2011-11-18,0
2011-11-19,0
2011-11-20,0
2011-11-21,0
2011-11-22,0
2011-11-23,0
2011-11-24,0
2011-11-25,0
2011-11-26,0
2011-11-27,0
2011-11-28,0
2011-11-29,38
2011-11-30,0
2011-12-01,0
2011-12-02,62
2011-12-03,0
2011-12-04,69
2011-12-05,39
2011-12-06,39
2011-12-07,39
2011-12-08,40
2011-12-09,41
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,42
2011-12-17,0
2011-12-18,0
2011-12-19,39
2011-12-20,80
2011-12-21,40
2011-12-22,42
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,46
2011-12-27,84
2011-12-28,0
2011-12-29,42
2011-12-30,45
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,38
2012-01-04,38
2012-01-05,39
2012-01-06,0
2012-01-07,0
2012-01-08,43
2012-01-09,0
2012-01-10,37
2012-01-11,0
2012-01-12,38
2012-01-13,77
2012-01-14,45
2012-01-15,0
2012-01-16,37
2012-01-17,37
2012-01-18,36
2012-01-19,0
2012-01-20,77
2012-01-21,43
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,37
2012-01-26,0
