date,NCLH
2013-02-19,0
2013-02-20,46
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,45
2013-02-26,91
2013-02-27,0
2013-02-28,46
2013-03-01,48
2013-03-02,54
2013-03-03,54
2013-03-04,92
2013-03-05,46
2013-03-06,0
2013-03-07,0
2013-03-08,48
2013-03-09,0
2013-03-10,0
2013-03-11,45
2013-03-12,90
2013-03-13,45
2013-03-14,45
2013-03-15,48
2013-03-16,0
2013-03-17,52
2013-03-18,0
2013-03-19,45
2013-03-20,45
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,46
2013-03-27,0
2013-03-28,48
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,45
2013-04-03,45
2013-04-04,46
2013-04-05,0
2013-04-06,54
2013-04-07,0
2013-04-08,0
2013-04-09,45
2013-04-10,45
2013-04-11,46
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,45
2013-04-16,44
2013-04-17,45
2013-04-18,46
2013-04-19,48
2013-04-20,54
2013-04-21,0
2013-04-22,90
2013-04-23,90
2013-04-24,45
2013-04-25,93
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,45
2013-04-30,92
2013-05-01,99
2013-05-02,46
2013-05-03,49
2013-05-04,55
2013-05-05,0
2013-05-06,46
2013-05-07,76
2013-05-08,92
2013-05-09,46
2013-05-10,48
2013-05-11,0
2013-05-12,0
2013-05-13,68
2013-05-14,45
2013-05-15,0
2013-05-16,0
2013-05-17,47
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,44
2013-05-22,0
2013-05-23,0
2013-05-24,46
2013-05-25,0
2013-05-26,0
2013-05-27,46
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,47
2013-06-01,0
2013-06-02,0
2013-06-03,0
2013-06-04,0
2013-06-05,45
2013-06-06,45
2013-06-07,47
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,44
2013-06-12,44
2013-06-13,0
2013-06-14,0
2013-06-15,55
2013-06-16,0
2013-06-17,44
2013-06-18,45
2013-06-19,45
2013-06-20,0
2013-06-21,0
2013-06-22,55
2013-06-23,0
2013-06-24,0
2013-06-25,90
2013-06-26,45
2013-06-27,45
2013-06-28,48
2013-06-29,56
2013-06-30,0
2013-07-01,0
2013-07-02,45
2013-07-03,0
2013-07-04,47
2013-07-05,100
2013-07-06,0
2013-07-07,0
2013-07-08,46
2013-07-09,0
2013-07-10,0
2013-07-11,0
2013-07-12,48
2013-07-13,57
2013-07-14,0
2013-07-15,45
2013-07-16,46
2013-07-17,0
2013-07-18,47
2013-07-19,48
2013-07-20,56
2013-07-21,0
2013-07-22,45
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,49
2013-07-27,0
2013-07-28,0
2013-07-29,90
2013-07-30,0
2013-07-31,92
2013-08-01,0
2013-08-02,48
2013-08-03,0
2013-08-04,0
2013-08-05,46
2013-08-06,46
2013-08-07,46
2013-08-08,0
2013-08-09,49
2013-08-10,0
2013-08-11,56
2013-08-12,46
2013-08-13,0
2013-08-14,0
2013-08-15,48
2013-08-16,49
2013-08-17,0
2013-08-18,0
2013-08-19,45
2013-08-20,45
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,44
2013-08-28,44
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,43
2013-09-04,44
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,51
2013-09-09,43
2013-09-10,42
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,43
2013-09-18,0
2013-09-19,0
2013-09-20,45
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,43
2013-10-02,86
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,50
2013-10-07,42
2013-10-08,0
2013-10-09,0
2013-10-10,44
2013-10-11,0
2013-10-12,0
2013-10-13,51
2013-10-14,0
2013-10-15,0
2013-10-16,43
2013-10-17,44
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,44
2013-10-26,0
2013-10-27,0
2013-10-28,42
2013-10-29,41
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-02,50
2013-11-03,0
2013-11-04,0
2013-11-05,82
2013-11-06,42
